"build","experimentName","subject","date","time","block","StaySwitch","conc","trialnum","outcomeindex","practiceblock","cannon","hitmiss","ang","angmu","angrand","angsurprise","cannonballs_caught","cannonballs_missed","placementAngle","calculateSelectedPosition","centsearned","totalearnings","centsearned","trial.Instructions_PlaceShield.latency","trial.placeshield_mouse.latency","picture.shield.currentitem","angoddball","angsurprise","angleup","angledown"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","2","1","1","0","0","0","0","294.8067125619405146608","0","0","359.1615850255977306915","359.1615850255977306915","0.0500000000000000028","0","0","1292","0","Arc4-removebg-preview.png","-5.273537423696629034","127.5318294967366057335","359.1615850255977306915","359.1615850255977306915"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","3","1","1","1","0","0","0","231.6629892940779882338","0","0","359.1615850255977306915","359.1615850255977306915","0.0500000000000000028","0","0","1292","0","Arc4-removebg-preview.png","3.09838849134430383","69.1814123907083171616","359.1615850255977306915","359.1615850255977306915"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","3","99","1","1","0","0","0","52.9954464856990199451","0","0","359.1615850255977306915","359.1615850255977306915","0.0500000000000000028","0","0","1292","0","Arc4-removebg-preview.png","-0.5161395488427258371","296.2891906910318198243","359.1615850255977306915","359.1615850255977306915"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","3","99","1","1","0","0","0","77.577611989708984197","0","0","5.5721978039637960478","5.5721978039637960478","0.0500000000000000028","0","0","1156","0","Arc4-removebg-preview.png","-0.3768437889732730306","177.6327170658932743663","5.5721978039637960478","5.5721978039637960478"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","3","99","1","1","0","0","0","337.1625653601164458451","0","0","5.5721978039637960478","5.5721978039637960478","0.0500000000000000028","0","0","1156","0","Arc4-removebg-preview.png","-2.3977942126664428812","244.8575873125478779002","5.5721978039637960478","5.5721978039637960478"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","3","99","1","1","0","0","0","238.3468172881628390769","0","0","5.5721978039637960478","5.5721978039637960478","0.0500000000000000028","0","0","1156","0","Arc4-removebg-preview.png","0.7844884205279979428","252.9388255842353032676","5.5721978039637960478","5.5721978039637960478"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","3","99","1","1","0","0","0","67.2383978840053089243","0","0","5.5721978039637960478","5.5721978039637960478","0.0500000000000000028","0","0","1156","0","Arc4-removebg-preview.png","1.6511918492120829516","244.0425390945846686463","5.5721978039637960478","5.5721978039637960478"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","3","99","1","1","0","0","0","342.0213076989216460788","0","0","27.3075035207385568015","27.3075035207385568015","0.0500000000000000028","0","0","1460","0","Arc4-removebg-preview.png","6.3928075883788073597","357.9084195284891052324","27.3075035207385568015","27.3075035207385568015"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","3","99","1","1","0","0","0","272.3201175668090741055","0","0","27.3075035207385568015","27.3075035207385568015","0.0500000000000000028","0","0","1460","0","Arc4-removebg-preview.png","1.3323168505731768363","106.8541286668866234777","27.3075035207385568015","27.3075035207385568015"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","4","99","1","0","0","0","0","264.0173559039871520326","0","0","27.3075035207385568015","27.3075035207385568015","0.0500000000000000028","0","0","1460","0","Arc4-removebg-preview.png","-1.0890785442380623849","178.2359161177268163101","27.3075035207385568015","27.3075035207385568015"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","4","2","1","0","0","0","0","123.9363151518479781998","0","0","27.3075035207385568015","27.3075035207385568015","0.0500000000000000028","0","0","1460","0","Arc4-removebg-preview.png","0.0085546616010843055","317.6854678051745395351","27.3075035207385568015","27.3075035207385568015"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","4","2","1","0","0","0","0","79.5587208214119812055","0","0","27.3075035207385568015","27.3075035207385568015","0.0500000000000000028","0","0","1460","0","Arc4-removebg-preview.png","1.5842946264472321793","193.6200855098711599567","27.3075035207385568015","27.3075035207385568015"
"6.4.2","Cannonball Task","483419443","2021-07-23","13:11:30","0","0","18.7749999999999985789","0","4","2","1","0","0","0","0","7.8501507937559278361","0","0","27.3075035207385568015","27.3075035207385568015","0.0500000000000000028","0","0","1460","0","Arc4-removebg-preview.png","-1.9450528403007352196","161.5654613733211135695","27.3075035207385568015","27.3075035207385568015"
