"build","experimentName","subject","date","time","numTrialEachBlock","faceDuration","stimulusAndFeedbackGapDuration","ITI","blockNumber","blockName","faceName","trialCounter","responseName","responseTime","responseAndFeedbackCategory","isResponseCorrect","isFeedbackAccurate"
"6.4.2","Reversal_Task","550","2021-07-12","16:02:59","40","","500","2000","0","practice","","0","","","IRIF","-1","1"
"6.4.2","Reversal_Task","213690447","2021-07-23","10:27:46","40","","500","2000","0","practice","","0","","","CRIF","1","-1"
"build","experimentName","subject","date","time","trial.presentation_left.response","trial.presentation_left.latency","trial.presentation_right.response","trial.presentation_right.latency","picture.Left.currentvalue","picture.Right.currentvalue","numTrialEachBlock","ITI","instructionIndex","practiceInstructionIndex","block_number","blockName","blockNumber","LeftStimSelected","RightStimSelected","percentTrialsCorrectFeedback_left","percentTrialsCorrectFeedback_right","responseAndFeedbackCategory","isThisTrialPractice","trialCounter","isResponseCorrect","isFeedbackAccurate","trial_number","numbercorrect","numberoftimesleft","numberoftimesright","rightleft","reversalnumber","totalearnings","centsearned"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","229","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","23","20","23","0","left","48","1.5","10"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","249","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","24","20","24","0","left","48","1.5","10"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","249","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","24","21","24","0","left","48","1.5","10.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","297","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRIF","0","0","1","-1","25","21","25","0","left","48","1.5","10.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","297","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRIF","0","0","1","-1","25","21","25","0","left","48","1.5","10.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","340","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRIF","0","0","1","-1","26","21","26","0","left","48","1.5","10.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","340","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRIF","0","0","1","-1","26","21","26","0","left","48","1.5","10.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","242","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","27","21","27","0","left","48","1.5","10.5"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","242","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","27","22","27","0","left","48","1.5","11"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","233","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","28","22","28","0","left","48","1.5","11"
"6.4.2","Reversal_Task","268301377","2021-07-23","12:54:57","45","233","50","351","5","16","40","2000","7","0","1","practice","0","5","16","0.8000000000000000444","0.2000000000000000111","CRCF","0","0","1","1","28","23","28","0","left","48","1.5","11.5"
