"build","experimentName","subject","date","time","blockcode","trialcode","list.Condition.currentvalue","cond","condcolor","percentTrialsStay","practiceblock","cannon","conc","blocknum","trialnum","StaySwitch","TAC","hitmiss","angmu","outcome","placementAngle","prev_placementAngle","trial.placeshield_mouse.latency","cannonballs_caught","cannonballs_missed","totalearnings","angleup","angledown","outcomeindex","update","distmean","shield_size","blockearnings","block.InstructionBlock.timestamp","trial.begin_block.timestamp","trial.mainloop.timestamp","trial.placeshield_mouse.timestamp","trial.showPE.timestamp","trial.cannon_outcome.timestamp","picture.shield.currentitem"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","placeshield_mouse","","0","0","0.8599999999999999867","3","1","18.7749999999999985789","0","0","0","0","1","191.783929372155995452","191.783929372155995452","187.35237935989235325","275.9061411137705022156","1124","5","0","0","200.35237935989235325","174.35237935989235325","5","274.5486752692398795261","3.3797601028533108547","13","0","0","0","24488","24543","22660","24178","Arc13.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","revealshield","","0","0","0.8599999999999999867","3","1","18.7749999999999985789","0","0","0","0","1","191.783929372155995452","191.783929372155995452","187.35237935989235325","275.9061411137705022156","1124","5","0","0","193.35237935989235325","181.35237935989235325","5","88.5537617538781489657","4.431550012263642202","6","0","0","0","24488","24543","25675","24178","Arc6.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","cannon_outcome","","0","0","0.8599999999999999867","3","1","18.7749999999999985789","0","0","0","0","0","191.783929372155995452","191.783929372155995452","187.35237935989235325","275.9061411137705022156","1124","5","1","0","193.35237935989235325","181.35237935989235325","6","88.5537617538781489657","4.431550012263642202","6","0","0","0","24488","24543","25675","27193","Arc6.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","mainloop","","0","0","0.8599999999999999867","3","1","18.7749999999999985789","0","0","0","0","0","159.6830938755728084288","159.6830938755728084288","187.35237935989235325","275.9061411137705022156","1124","5","1","0","193.35237935989235325","181.35237935989235325","6","88.5537617538781489657","4.431550012263642202","6","0","0","0","27507","24543","25675","27193","Arc6.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","placeshield_mouse","","0","0","0.8599999999999999867","3","1","18.7749999999999985789","0","0","0","0","0","159.6830938755728084288","159.6830938755728084288","2.489552921999156343","187.35237935989235325","631","5","1","0","8.4895529219991558989","-3.510447078000843657","6","88.5537617538781489657","4.431550012263642202","6","0","0","0","27507","27562","25675","27193","Arc6.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","revealshield","","0","0","0.8599999999999999867","3","1","18.7749999999999985789","0","0","0","0","0","159.6830938755728084288","159.6830938755728084288","2.489552921999156343","187.35237935989235325","631","5","1","0","26.4895529219991558989","-21.5104470780008441011","6","184.8628264378932044565","157.1935409535736596354","24","0","0","0","27507","27562","28202","27193","Arc24.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","cannon_outcome","","0","0","0.8599999999999999867","3","1","18.7749999999999985789","0","0","0","0","0","159.6830938755728084288","159.6830938755728084288","2.489552921999156343","187.35237935989235325","631","5","1","0","26.4895529219991558989","-21.5104470780008441011","6","184.8628264378932044565","157.1935409535736596354","24","0","0","0","27507","27562","28202","29719","Arc24.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","EndPractice","","CHANGEPOINT","0","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","0","159.6830938755728084288","159.6830938755728084288","2.489552921999156343","187.35237935989235325","631","0","0","2.5","26.4895529219991558989","-21.5104470780008441011","6","184.8628264378932044565","157.1935409535736596354","24","2.5","0","0","27507","27562","28202","29719","Arc24.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","EndPractice","","CHANGEPOINT","0","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","0","159.6830938755728084288","159.6830938755728084288","2.489552921999156343","187.35237935989235325","631","0","0","2.5","26.4895529219991558989","-21.5104470780008441011","6","184.8628264378932044565","157.1935409535736596354","24","0","0","0","27507","27562","28202","29719","Arc24.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","InstructionBlock","EndPractice","","CHANGEPOINT","0","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","0","159.6830938755728084288","159.6830938755728084288","2.489552921999156343","187.35237935989235325","631","0","0","2.5","26.4895529219991558989","-21.5104470780008441011","6","184.8628264378932044565","157.1935409535736596354","24","0","0","0","27507","27562","28202","29719","Arc24.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","begin_round","Phase_starts","ODDBALL","ODDBALL","ORANGE","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","0","159.6830938755728084288","159.6830938755728084288","2.489552921999156343","187.35237935989235325","631","0","0","2.5","26.4895529219991558989","-21.5104470780008441011","6","184.8628264378932044565","157.1935409535736596354","24","0","0","0","27507","27562","28202","29719","Arc24.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","begin_round","mainloop","ODDBALL","ODDBALL","ORANGE","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","0","213.4561991136079655007","172.8718503167359017425","2.489552921999156343","187.35237935989235325","631","0","0","2.5","26.4895529219991558989","-21.5104470780008441011","6","184.8628264378932044565","157.1935409535736596354","24","0","0","32556","35184","27562","28202","29719","Arc24.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","begin_round","placeshield_mouse","ODDBALL","ODDBALL","ORANGE","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","0","213.4561991136079655007","172.8718503167359017425","212.9052429229878953265","2.489552921999156343","884","0","0","2.5","236.9052429229878953265","188.9052429229878953265","6","184.8628264378932044565","157.1935409535736596354","24","0","0","32556","35184","35241","28202","29719","Arc24.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","begin_round","revealshield","ODDBALL","ODDBALL","ORANGE","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","0","213.4561991136079655007","172.8718503167359017425","212.9052429229878953265","2.489552921999156343","884","0","0","2.5","247.9052429229878953265","177.9052429229878953265","6","210.415690000988746533","0.5509561906200701742","35","0","0","32556","35184","35241","36142","29719","Arc35.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","begin_round","cannon_outcome","ODDBALL","ODDBALL","ORANGE","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","0","213.4561991136079655007","172.8718503167359017425","212.9052429229878953265","2.489552921999156343","884","0","1","2.5","247.9052429229878953265","177.9052429229878953265","6","210.415690000988746533","0.5509561906200701742","35","0","0","32556","35184","35241","36142","37660","Arc35.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","begin_round","mainloop","ODDBALL","ODDBALL","ORANGE","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","0","211.2351805752912525804","211.7546773246331497376","212.9052429229878953265","2.489552921999156343","884","0","1","2.5","247.9052429229878953265","177.9052429229878953265","6","210.415690000988746533","0.5509561906200701742","35","0","0","32556","37971","35241","36142","37660","Arc35.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","begin_round","placeshield_mouse","ODDBALL","ODDBALL","ORANGE","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","0","211.2351805752912525804","211.7546773246331497376","201.9695962229873771321","212.9052429229878953265","202","0","1","2.5","236.9695962229873771321","166.9695962229873771321","6","210.415690000988746533","0.5509561906200701742","35","0","0","32556","37971","38025","36142","37660","Arc35.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","begin_round","revealshield","ODDBALL","ODDBALL","ORANGE","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","0","211.2351805752912525804","211.7546773246331497376","201.9695962229873771321","212.9052429229878953265","202","0","1","2.5","252.9695962229873771321","150.9695962229873771321","6","10.9356467000005181944","9.2655843523038754483","51","0","0","32556","37971","38025","38239","37660","Arc51.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","begin_round","cannon_outcome","ODDBALL","ODDBALL","ORANGE","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","1","211.2351805752912525804","211.7546773246331497376","201.9695962229873771321","212.9052429229878953265","202","1","1","2.5","252.9695962229873771321","150.9695962229873771321","5","10.9356467000005181944","9.2655843523038754483","51","0","0","32556","37971","38025","38239","39758","Arc51.png"
"6.4.2","Cannonball Task","1","2021-08-30","09:55:09","begin_round","mainloop","ODDBALL","ODDBALL","ORANGE","0.8599999999999999867","4","1","18.7749999999999985789","0","0","0","0","1","206.4936110186110340692","224.247088727883010506","201.9695962229873771321","212.9052429229878953265","202","1","1","2.5","252.9695962229873771321","150.9695962229873771321","5","10.9356467000005181944","9.2655843523038754483","51","0","0","32556","40073","38025","38239","39758","Arc51.png"
